id,title,price,date,place,link
"10002715","Nomun town хотхонд 79.11 м2 3 өрөө","365 сая ₮ 395.55 сая ₮","2 долоо хоногийн өмнө","УБ — Баянгол, 3, 4 хороолол","https://www.unegui.mn/adv/10002715_nomun-town-khotkhond-79-11m2-3oroo-oron-suuts-khudaldana/"
"10118091","Цэнгэлдэх 1 хотхонд 70 м2 3 өрөө","594.83 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, 120 мянгат","https://www.unegui.mn/adv/10118091_tsengeldekh-1-khotkhond-70m2-3-oroo-oron-suuts-khudaldana/"
"10118073","Бгд, 4-р хороо арктай шар 03-р байранд гал тогоо тусдаа 2 өрөө байр","234 сая ₮","2 долоо хоногийн өмнө","УБ — Баянгол, 25-р эмийн сан","https://www.unegui.mn/adv/10118073_bgd-4-r-khoroo-arktai-shar-03-r-bairand-gal-togoo-tusdaa-2-oroo-bair-khudaldana/"
"9976352","Нисэхэд 2 өрөө 49.16m2","130 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Нисэх","https://www.unegui.mn/adv/9976352_nisekhed-2-oroo-khiamd-khudaldana/"
"9749778","Төмөр замд 1-р давхрын өргөтгөлтэй 2 өрөө 83.6 мкв","255 сая ₮","2 долоо хоногийн өмнө","УБ — Баянгол, Баянгол, Хороо 4","https://www.unegui.mn/adv/9749778_bgd-4-khoroo-1-davkhryn-orgotgoltei-2-oroo/"
"10112742","Яармаг, Мaxwell residence-д 3 өрөө 92,45 мкв","385 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/10112742_iaarmagt-maxwell-residence-d-3-oroo-bair-khudaldana/"
"10118055","Сбд Монгол 3-р сургуулийн хажууд 3 өрөө 112.64мкв байр","394.24 сая ₮","2 долоо хоногийн өмнө","УБ — Сүхбаатар, Сүхбаатар, Хороо 10","https://www.unegui.mn/adv/10118055_3-r-surguuliin-khazhuud-3-oroo-zarna/"
"10118047","Худ,буянт-ухаад 49.16мкв 2 өрөө орон сууц","135 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Нисэх","https://www.unegui.mn/adv/10118047_khud-buiant-ukhaad-49-16mkv-2-oroo-oron-suuts/"
"10118046","Bella vista хотхоны урд sq residence 3 өрөө 155м2 дүплекс байр","1.3 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Bella Vista","https://www.unegui.mn/adv/10118046_bella-vista-khotkhony-urd-sq-residence-shine-dupleks-bair/"
"10118033","Зайсан энхжин хотхонд 94.5 мкв 4өрөө","321.3 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Зайсан","https://www.unegui.mn/adv/10118033_zaisan-enkhzhin-khotkhond-94-5-mkv-4oroo/"
"10105964","Төмөр замд 72 мкв 3 өрөө","395 сая ₮","2 долоо хоногийн өмнө","УБ — Баянгол, Баянгол, Хороо 3","https://www.unegui.mn/adv/10105964_tomor-zamd-3-oroo-oron-suuts-zarna/"
"9942279","F.i.one хотхонд 2 өрөө байр 58м2","336.4 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Зайсан","https://www.unegui.mn/adv/9942279_f-i-one-khotkhond-2-oroo-bair-khudaldana/"
"9580102","Худ буянт-ухаа2 хотхонд 68.6мкв 3 өрөө байр","195 сая ₮ 210 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Буянт Ухаа хороолол","https://www.unegui.mn/adv/9580102_buiant-ukhaa2-khotkhond-3-oroo-bair-zarna/"
"10118017","Бзд алтан өргөө хотхонд 3 өрөө 92.93мкв байр","330 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, 84-р сургуулийн ойролцоо","https://www.unegui.mn/adv/10118017_altan-orgoo-khotkhon-3-oroo/"
"10118016","Худ нисэх гардены баруун талд n palace апартментад 1 өрөө 30мкв байр","110 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Нисэх","https://www.unegui.mn/adv/10118016_khud-nisekh-nisekh-gardeny-baruun-tald-n-palace-apartmented-30mkv-1-oroo/"
"9928637","Зайсанд singa town хотхонд 63.30мкв 2 өрөө орон сууц","335.49 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 11","https://www.unegui.mn/adv/9928637_zaisand-singa-town-khotkhond-63-30mkv-2-oroo-shine-oron-suuts-khudaldana/"
"9981680","Platinum tower тансаг зэрэглэлийн 5 өрөө 166.88мк орон сууц","1.33 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Сүхбаатар, Сүхбаатар, Хороо 2","https://www.unegui.mn/adv/9981680_platinum-tower-tansag-zeregleliin-oron-suuts-khudaldana/"
"10033667","Яармаг арвай вилла хотхон 2 өрөө 57.25мкв","188 сая ₮ 200.5 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/10033667_iaarmag-arvai-villa-khotkhon-2-oroo-khudaldana/"
"9837611","Зайсан nomun village 106.5мкв мастертай 4 өрөө орон сууц","415.35 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 11","https://www.unegui.mn/adv/9837611_zaisan-nomun-village-106-5mkv-mastertai-4oroo-oron-suuts-khudaldana/"
"9800711","Худ удирдлагын академи duplex 4 өрөө 170м2 байр","649 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Удирдлагын Академи","https://www.unegui.mn/adv/9800711_bairlal-mash-goio-duplex-4-oroo-bair-khiamdkhan-zarna/"
